E N D Resistivity
810409 2192302 18 0.18692
810409 2192302 20 0.18692
810409 2192302 22 0.20259
810409 2192302 24 0.20259
810409 2192302 26 0.20259
810409 2192302 28 0.20259
810409 2192302 30 0.20259
810409 2192302 32 0.23522
810409 2192302 34 0.23522
810409 2192302 36 0.23522
810409 2192302 38 0.23522
810409 2192302 40 0.23522
810409 2192302 42 0.30671
810409 2192302 44 0.30671
810409 2192302 46 0.30671
810409 2192302 48 0.30671
810409 2192302 50 0.30671
810409 2192302 52 0.44766
810409 2192302 54 0.44766
810409 2192302 56 0.44766
810409 2192302 58 0.44766
810409 2192302 60 0.44766
810409 2192302 62 0.76611
810409 2192302 64 0.76611
810407 2192301 0 0.16794
810407 2192301 2 0.18507
810407 2192301 4 0.18507
810407 2192301 6 0.18507
810407 2192301 8 0.18507
810407 2192301 10 0.18507
810407 2192301 12 0.18692
810407 2192301 14 0.18692
810407 2192301 16 0.18692
810407 2192301 18 0.18692
810407 2192301 20 0.18692
810407 2192301 22 0.20259
810407 2192301 24 0.20259
810407 2192301 26 0.20259
810407 2192301 28 0.20259
810407 2192301 30 0.20259
810407 2192301 32 0.23522
810407 2192301 34 0.23522
810407 2192301 36 0.23522
810407 2192301 38 0.23522
810407 2192301 40 0.23522
810407 2192301 42 0.30671
810407 2192301 44 0.30671
810407 2192301 46 0.30671
810407 2192301 48 0.30671
810407 2192301 50 0.30671
810407 2192301 52 0.44766
810407 2192301 54 0.44766
810407 2192301 56 0.44766
810407 2192301 58 0.44766
810407 2192301 60 0.44766
810407 2192301 62 0.76611
810407 2192301 64 0.76611
810406 2192300 0 1e+13
810406 2192300 2 0.16794
810406 2192300 4 0.16794
810406 2192300 6 0.16794
810406 2192300 8 0.16794
810406 2192300 10 0.16794
810406 2192300 12 0.17451
810406 2192300 14 0.17451
810406 2192300 16 0.17451
810406 2192300 18 0.17451
810406 2192300 20 0.17451
810406 2192300 22 0.19724
810406 2192300 24 0.19724
810406 2192300 26 0.19724
810406 2192300 28 0.19724
810406 2192300 30 0.19724
810406 2192300 32 0.2348
810406 2192300 34 0.2348
810406 2192300 36 0.2348
810406 2192300 38 0.2348
810406 2192300 40 0.2348
810406 2192300 42 0.30218
810406 2192300 44 0.30218
810406 2192300 46 0.30218
810406 2192300 48 0.30218
810406 2192300 50 0.30218
810406 2192300 52 0.44766
810406 2192300 54 0.44766
810406 2192300 56 0.44766
810406 2192300 58 0.44766
810406 2192300 60 0.44766
810406 2192300 62 0.76611
810406 2192300 64 0.76611
810404 2192299 0 1e+13
810404 2192299 2 0.16794
810404 2192299 4 0.16794
810404 2192299 6 0.16794
810404 2192299 8 0.16794
810404 2192299 10 0.16794
810404 2192299 12 0.17451
810404 2192299 14 0.17451
810404 2192299 16 0.17451
810404 2192299 18 0.17451
810404 2192299 20 0.17451
810404 2192299 22 0.19724
810404 2192299 24 0.19724
810404 2192299 26 0.19724
810404 2192299 28 0.19724
810404 2192299 30 0.19724
810404 2192299 32 0.2348
810404 2192299 34 0.2348
810404 2192299 36 0.2348
810404 2192299 38 0.2348
810404 2192299 40 0.2348
810404 2192299 42 0.30218
810404 2192299 44 0.30218
810404 2192299 46 0.30218
810404 2192299 48 0.30218
810404 2192299 50 0.30218
810404 2192299 52 0.44766
810404 2192299 54 0.44766
810404 2192299 56 0.44766
810404 2192299 58 0.44766
810404 2192299 60 0.44766
810404 2192299 62 0.76611
810404 2192299 64 0.76611
810403 2192297 0 1e+13
810403 2192297 2 0.16794
810403 2192297 4 0.16794
810403 2192297 6 0.16794
810403 2192297 8 0.16794
810403 2192297 10 0.16794
810403 2192297 12 0.17451
810403 2192297 14 0.17451
810403 2192297 16 0.17451
810403 2192297 18 0.17451
810403 2192297 20 0.17451
810403 2192297 22 0.19724
810403 2192297 24 0.19724
810403 2192297 26 0.19724
810403 2192297 28 0.19724
810403 2192297 30 0.19724
810403 2192297 32 0.2348
810403 2192297 34 0.2348
810403 2192297 36 0.2348
810403 2192297 38 0.2348
810403 2192297 40 0.2348
810403 2192297 42 0.30218
810403 2192297 44 0.30218
810403 2192297 46 0.30218
810403 2192297 48 0.30218
810403 2192297 50 0.30218
810403 2192297 52 0.44766
810403 2192297 54 0.44766
810403 2192297 56 0.44766
810403 2192297 58 0.44766
810403 2192297 60 0.44766
810403 2192297 62 0.76611
810403 2192297 64 0.76611
810401 2192296 0 1e+13
810401 2192296 2 0.16794
810401 2192296 4 0.16794
810401 2192296 6 0.16794
810401 2192296 8 0.16794
810401 2192296 10 0.16794
810401 2192296 12 0.17451
810401 2192296 14 0.17451
810401 2192296 16 0.17451
810401 2192296 18 0.17451
810401 2192296 20 0.17451
810401 2192296 22 0.19724
810401 2192296 24 0.19724
810401 2192296 26 0.19724
810401 2192296 28 0.19724
810401 2192296 30 0.19724
810401 2192296 32 0.2348
810401 2192296 34 0.2348
810401 2192296 36 0.2348
810401 2192296 38 0.2348
810401 2192296 40 0.2348
810401 2192296 42 0.30218
810401 2192296 44 0.30218
810401 2192296 46 0.30218
810401 2192296 48 0.30218
810401 2192296 50 0.30218
810401 2192296 52 0.44766
810401 2192296 54 0.44766
810401 2192296 56 0.44766
810401 2192296 58 0.44766
810401 2192296 60 0.44766
810401 2192296 62 0.76611
810401 2192296 64 0.76611
810400 2192295 0 0.15835
810400 2192295 2 0.16794
810400 2192295 4 0.16794
810400 2192295 6 0.16794
810400 2192295 8 0.16794
810400 2192295 10 0.16794
810400 2192295 12 0.17451
810400 2192295 14 0.17451
810400 2192295 16 0.17451
810400 2192295 18 0.17451
810400 2192295 20 0.17451
810400 2192295 22 0.19724
810400 2192295 24 0.19724
810400 2192295 26 0.19724
810400 2192295 28 0.19724
810400 2192295 30 0.19724
810400 2192295 32 0.2348
810400 2192295 34 0.2348
810400 2192295 36 0.2348
810400 2192295 38 0.2348
810400 2192295 40 0.2348
810400 2192295 42 0.30218
810400 2192295 44 0.30218
810400 2192295 46 0.30218
810400 2192295 48 0.30218
810400 2192295 50 0.30218
810400 2192295 52 0.44766
810400 2192295 54 0.44766
810400 2192295 56 0.44766
810400 2192295 58 0.44766
810400 2192295 60 0.44766
810400 2192295 62 0.76611
810400 2192295 64 0.76611
810398 2192294 0 1e+13
810398 2192294 2 0.15835
810398 2192294 4 0.15835
810398 2192294 6 0.15835
810398 2192294 8 0.15835
810398 2192294 10 0.15835
810398 2192294 12 0.17054
810398 2192294 14 0.17054
810398 2192294 16 0.17054
810398 2192294 18 0.17054
810398 2192294 20 0.17054
810398 2192294 22 0.20034
810398 2192294 24 0.20034
810398 2192294 26 0.20034
810398 2192294 28 0.20034
810398 2192294 30 0.20034
810398 2192294 32 0.24198
810398 2192294 34 0.24198
810398 2192294 36 0.24198
810398 2192294 38 0.24198
810398 2192294 40 0.24198
810398 2192294 42 0.30812
810398 2192294 44 0.30812
810398 2192294 46 0.30812
810398 2192294 48 0.30812
810398 2192294 50 0.30812
810398 2192294 52 0.44766
810398 2192294 54 0.44766
810398 2192294 56 0.44766
810398 2192294 58 0.44766
810398 2192294 60 0.44766
810398 2192294 62 0.76611
810398 2192294 64 0.76611
810396 2192292 0 1e+13
810396 2192292 2 0.15835
810396 2192292 4 0.15835
810396 2192292 6 0.15835
810396 2192292 8 0.15835
810396 2192292 10 0.15835
810396 2192292 12 0.17054
810396 2192292 14 0.17054
810396 2192292 16 0.17054
810396 2192292 18 0.17054
810396 2192292 20 0.17054
810396 2192292 22 0.20034
810396 2192292 24 0.20034
810396 2192292 26 0.20034
810396 2192292 28 0.20034
810396 2192292 30 0.20034
810396 2192292 32 0.24198
810396 2192292 34 0.24198
810396 2192292 36 0.24198
810396 2192292 38 0.24198
810396 2192292 40 0.24198
810396 2192292 42 0.30812
810396 2192292 44 0.30812
810396 2192292 46 0.30812
810396 2192292 48 0.30812
810396 2192292 50 0.30812
810396 2192292 52 0.44766
810396 2192292 54 0.44766
810396 2192292 56 0.44766
810396 2192292 58 0.44766
810396 2192292 60 0.44766
810396 2192292 62 0.76611
810396 2192292 64 0.76611
810395 2192291 0 1e+13
810395 2192291 2 0.15835
810395 2192291 4 0.15835
810395 2192291 6 0.15835
810395 2192291 8 0.15835
810395 2192291 10 0.15835
810395 2192291 12 0.17054
810395 2192291 14 0.17054
810395 2192291 16 0.17054
810395 2192291 18 0.17054
810395 2192291 20 0.17054
810395 2192291 22 0.20034
810395 2192291 24 0.20034
810395 2192291 26 0.20034
810395 2192291 28 0.20034
810395 2192291 30 0.20034
810395 2192291 32 0.24198
810395 2192291 34 0.24198
810395 2192291 36 0.24198
810395 2192291 38 0.24198
810395 2192291 40 0.24198
810395 2192291 42 0.30812
810395 2192291 44 0.30812
810395 2192291 46 0.30812
810395 2192291 48 0.30812
810395 2192291 50 0.30812
810395 2192291 52 0.44766
810395 2192291 54 0.44766
810395 2192291 56 0.44766
810395 2192291 58 0.44766
810395 2192291 60 0.44766
810395 2192291 62 0.76611
810395 2192291 64 0.76611
810393 2192290 0 1e+13
810393 2192290 2 0.15835
810393 2192290 4 0.15835
810393 2192290 6 0.15835
810393 2192290 8 0.15835
810393 2192290 10 0.15835
810393 2192290 12 0.17054
810393 2192290 14 0.17054
810393 2192290 16 0.17054
810393 2192290 18 0.17054
810393 2192290 20 0.17054
810393 2192290 22 0.20034
810393 2192290 24 0.20034
810393 2192290 26 0.20034
810393 2192290 28 0.20034
